filename,true_label,prediction,is_correct
normal/skola8_7reywQJJ.m4a,0,0,1
normal/skola8_7reywQJJ.m4a,0,0,1
normal/skola8_7reywQJJ.m4a,0,0,1
normal/skola8_7reywQJJ.m4a,0,0,1
normal/skola8_7reywQJJ.m4a,0,0,1
normal/skola8_7reywQJJ.m4a,0,0,1
normal/skola8_7reywQJJ.m4a,0,1,0
normal/skola8_7reywQJJ.m4a,0,0,1
normal/skola8_7reywQJJ.m4a,0,0,1
normal/skola8_7reywQJJ.m4a,0,0,1
normal/skola8_7reywQJJ.m4a,0,0,1
normal/nbn.m4a,0,0,1
normal/nbn.m4a,0,0,1
normal/школа (mp3cut.net).m4a,0,0,1
normal/школа (mp3cut.net).m4a,0,1,0
normal/школа (mp3cut.net).m4a,0,1,0
normal/школа (mp3cut.net).m4a,0,0,1
normal/Булінг у школі (mp3cut.net)-4.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/skola-16_kpHEbnGC.m4a,0,0,1
normal/оо.m4a,0,0,1
normal/оо.m4a,0,0,1
normal/оо.m4a,0,0,1
normal/skola8_eMikBWXa.m4a,0,0,1
normal/skola8_eMikBWXa.m4a,0,0,1
normal/skola8_eMikBWXa.m4a,0,0,1
normal/skola8_eMikBWXa.m4a,0,0,1
normal/skola8_eMikBWXa.m4a,0,1,0
normal/skola8_eMikBWXa.m4a,0,0,1
normal/Untitled 2.m4a,0,1,0
normal/Untitled 2.m4a,0,1,0
normal/skola-22_GxsIYHGa.m4a,0,0,1
normal/skola-22_GxsIYHGa.m4a,0,0,1
normal/skola-22_GxsIYHGa.m4a,0,0,1
normal/skola-22_GxsIYHGa.m4a,0,0,1
normal/ііі.m4a,0,1,0
normal/ііі.m4a,0,0,1
normal/іі.m4a,0,1,0
normal/іі.m4a,0,1,0
normal/готщ.m4a,0,0,1
normal/готщ.m4a,0,0,1
normal/посе.m4a,0,0,1
normal/посе.m4a,0,0,1
normal/посе.m4a,0,0,1
normal/skola-16_FNtoMwU3 [vocals].m4a,0,0,1
normal/skola-16_FNtoMwU3 [vocals].m4a,0,1,0
normal/skola-16_FNtoMwU3 [vocals].m4a,0,0,1
normal/skola-16_FNtoMwU3 [vocals].m4a,0,1,0
normal/skola-16_FNtoMwU3 [vocals].m4a,0,0,1
normal/skola-16_FNtoMwU3 [vocals].m4a,0,0,1
normal/skola-16_FNtoMwU3 [vocals].m4a,0,0,1
normal/skola-16_FNtoMwU3 [vocals].m4a,0,0,1
normal/skola-16_FNtoMwU3 [vocals].m4a,0,0,1
normal/skola-16_FNtoMwU3 [vocals].m4a,0,0,1
normal/skola10_exrqjYc9.m4a,0,1,0
normal/skola10_exrqjYc9.m4a,0,0,1
normal/skola10_exrqjYc9.m4a,0,0,1
normal/skola10_exrqjYc9.m4a,0,0,1
normal/тд.m4a,0,1,0
normal/тд.m4a,0,1,0
normal/тд.m4a,0,1,0
normal/л copy.m4a,0,0,1
normal/л copy.m4a,0,0,1
normal/gjlfheyjr.m4a,0,1,0
normal/gjlfheyjr.m4a,0,0,1
normal/Untiііtled.m4a,0,1,0
normal/Untiііtled.m4a,0,1,0
normal/школа (mp3cut.net) copy.m4a,0,0,1
normal/школа (mp3cut.net) copy.m4a,0,0,1
normal/школа (mp3cut.net) copy.m4a,0,0,1
normal/школа (mp3cut.net) copy.m4a,0,1,0
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/розмова.m4a,0,0,1
normal/Маршала Тимошенко улица 4 copy.m4a,0,1,0
"normal/Аптека ""Рецептика"".m4a",0,1,0
normal/дл.m4a,0,0,1
normal/дл.m4a,0,0,1
normal/дл.m4a,0,0,1
normal/дл.m4a,0,0,1
normal/дл.m4a,0,0,1
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,1,0
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,1,0
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,0,1
normal/audio [vocals].m4a,0,0,1
normal/irjkf6.m4a,0,0,1
normal/irjkf6.m4a,0,0,1
normal/irjkf6.m4a,0,0,1
normal/irjkf6.m4a,0,0,1
normal/Untitled copy 9.m4a,0,1,0
normal/Untitled copy 9.m4a,0,1,0
normal/00.m4a,0,0,1
normal/00.m4a,0,0,1
normal/00.m4a,0,0,1
normal/00.m4a,0,0,1
normal/00.m4a,0,0,1
normal/00.m4a,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/9602718347e1bb3 copy.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/audio [vocals] copy 2.mp3,0,0,1
normal/Untitled copy 8.m4a,0,1,0
normal/Untitled copy 8.m4a,0,0,1
normal/audio [vocals] copy.mp3,0,1,0
normal/audio [vocals] copy.mp3,0,0,1
normal/audio [vocals] copy.mp3,0,1,0
normal/audio [vocals] copy.mp3,0,1,0
normal/audio [vocals] copy.mp3,0,0,1
normal/audio [vocals] copy.mp3,0,0,1
normal/audio [vocals] copy.mp3,0,0,1
normal/audio [vocals] copy.mp3,0,0,1
normal/audio [vocals] copy.mp3,0,0,1
normal/audio [vocals] copy.mp3,0,0,1
normal/audio [vocals] copy.mp3,0,0,1
normal/audio [vocals] copy.mp3,0,0,1
normal/audio [vocals] copy.mp3,0,0,1
normal/audio [vocals] copy.mp3,0,0,1
normal/0900999.m4a,0,0,1
normal/0900999.m4a,0,0,1
normal/0900999.m4a,0,0,1
normal/0900999.m4a,0,0,1
normal/0900999.m4a,0,0,1
normal/0900999.m4a,0,0,1
normal/0900999.m4a,0,0,1
normal/тттт.m4a,0,0,1
normal/тттт.m4a,0,0,1
normal/Маршала Тимошенко улица 5.m4a,0,1,0
normal/Маршала Тимошенко улица 5.m4a,0,1,0
normal/Маршала Тимошенко улица 5.m4a,0,1,0
normal/Untitled copy 5.m4a,0,1,0
normal/Untitled copy 5.m4a,0,0,1
normal/9990.m4a,0,0,1
normal/9990.m4a,0,0,1
normal/9990.m4a,0,0,1
normal/9990.m4a,0,0,1
normal/9990.m4a,0,0,1
normal/9990.m4a,0,0,1
normal/9990.m4a,0,0,1
normal/9990.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/uyhb.m4a,0,0,1
normal/Untitled copy 4.m4a,0,1,0
normal/Untitled copy 4.m4a,0,0,1
normal/41b3a1625ef6353.mp3,0,0,1
normal/41b3a1625ef6353.mp3,0,0,1
normal/41b3a1625ef6353.mp3,0,0,1
normal/41b3a1625ef6353.mp3,0,0,1
normal/41b3a1625ef6353.mp3,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,1,0
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/skola-16_pMOzb9j7 [vocals].m4a,0,0,1
normal/Маршала Тимошенко улица 6.m4a,0,1,0
normal/Маршала Тимошенко улица 6.m4a,0,1,0
normal/Маршала Тимошенко улица 6.m4a,0,1,0
normal/Маршала Тимошенко улица 6.m4a,0,0,1
normal/audio [vocals].mp3,0,0,1
normal/audio [vocals].mp3,0,1,0
normal/audio [vocals].mp3,0,0,1
normal/audio [vocals].mp3,0,0,1
normal/audio [vocals].mp3,0,0,1
normal/audio [vocals].mp3,0,0,1
normal/audio [vocals].mp3,0,0,1
normal/audio [vocals].mp3,0,0,1
normal/audio [vocals].mp3,0,0,1
normal/audio [vocals].mp3,0,0,1
normal/audio [vocals].mp3,0,0,1
normal/Untitled copy 6.m4a,0,0,1
normal/Untitled copy 6.m4a,0,0,1
normal/Untitled copy 7.m4a,0,0,1
normal/Untitled copy 7.m4a,0,1,0
normal/Untitled copy 7.m4a,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
normal/deti-igraut-na-detskoy-ploshadke.mp3,0,0,1
